#####################################################################
# Alchemist log file - simulation started at: 2024-04-04T10:54+0000 #
#####################################################################
#
# seed = 2
#
# The columns have the following meaning: 
# time distances[min] distances[max] distances[mean] 
0.0 NaN NaN NaN
0.0 NaN NaN NaN
1.0 0.39781452751340596 2.7124724718559032 1.48747322151457
2.0 1.0821590360211548 2.2839395642642204 1.5127566300958535
3.0 1.1025416713535936 2.289599770080771 1.5187772724830515
4.0 1.109756017909405 2.2507289248063187 1.5007733738757645
5.0 1.0716205912814352 2.212472421727248 1.4862521742957084
6.0 1.0504485006486806 2.1494193017376206 1.4708390042846247
7.0 1.026934404405118 2.0947729261599033 1.4558551348650677
8.0 0.9627679984504802 2.057218928122519 1.4419562543535138
9.0 0.9069350405776229 2.1010288187967117 1.4272919852779966
10.0 0.8520999276456024 2.162985056328427 1.413910945355765
11.0 0.7840361403994872 2.1916079574218097 1.399678052769623
12.0 0.7107472056143143 2.2015375943318802 1.384765458193311
13.0 0.6562562411095338 2.2214712805845984 1.3703476269242572
14.0 0.6212460657028422 2.218710315289961 1.3564111859891381
15.0 0.5581818977206839 2.17852763311863 1.342920275268061
16.0 0.5080192877558638 2.1671631295931397 1.3300157128143069
17.0 0.4758898978063121 2.18307717228261 1.3171733040827098
18.0 0.4432670958742898 2.2009428637255057 1.30418541085765
19.0 0.4015375394208718 2.218964044979492 1.2923907697588286
20.0 0.38799433667729044 2.197822421744793 1.2807883541042742
21.0 0.36660080122197936 2.200876956490144 1.2686412443541963
22.0 0.3658908886492718 2.2063954667704033 1.2559398155844923
23.0 0.35088398011728683 2.2198989218481824 1.2436747358276221
24.0 0.31388519170639856 2.2198989218481824 1.2309923148612798
25.0 0.2967481155064228 2.238059967897134 1.2170226044468953
26.0 0.2718828601747071 2.23132972056837 1.2049601375555397
27.0 0.27804103018631865 2.2295529057730468 1.1936689508309117
28.0 0.2520851233196848 2.2428622735667316 1.1826030180755527
29.0 0.23376533521840231 2.248137041016551 1.170241218537279
30.0 0.25085308108482857 2.243599991778372 1.1595069403603508
31.0 0.2858342048691067 2.2405173861857386 1.147671133499676
32.0 0.30182158693581806 2.239650529250421 1.1360112146657104
33.0 0.3026415715685761 2.236896151831208 1.1245917136248473
34.0 0.29660775038119147 2.225830710983293 1.1133643613487758
35.0 0.2874532978442311 2.2396975222145934 1.1017977762336526
36.0 0.2874385024029203 2.251930552772841 1.0898831026641003
37.0 0.2638165073790144 2.2536400705404143 1.0776031992541188
38.0 0.2456507265922483 2.277923819181227 1.0662274824709133
